Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs,Pruned_FLOPs
990,Random,0.2,85.0,89.81,39.92359161376953,1.2548862445280227,162190.0,89.18,203264.0,
764,Random,0.2,85.0,90.03,39.89433431625366,1.2548862445280227,162190.0,89.18,203264.0,
32,Random,0.2,84.95,89.28,39.99948811531067,1.2548862445280227,162190.0,89.18,203264.0,
64,Random,0.2,84.95,89.51,39.92544412612915,1.2548862445280227,162190.0,89.18,203264.0,
65,Random,0.2,84.95,89.6,39.91823863983154,1.2548862445280227,162190.0,89.18,203264.0,
143,Random,0.2,84.95,89.33,39.85899257659912,1.2548862445280227,162190.0,89.18,203264.0,
179,Random,0.2,84.95,88.81,39.91734194755554,1.2548862445280227,162190.0,89.18,203264.0,
181,Random,0.2,84.95,89.32,39.9355993270874,1.2548862445280227,162190.0,89.18,203264.0,
453,Random,0.2,84.95,89.67,39.88177299499512,1.2548862445280227,162190.0,89.18,203264.0,
529,Random,0.2,84.95,89.22,40.05435037612915,1.2548862445280227,162190.0,89.18,203264.0,
598,Random,0.2,84.95,88.94,39.81249451637268,1.2548862445280227,162190.0,89.18,203264.0,
220,Random,0.2,84.95,89.15,39.93837833404541,1.2548862445280227,162190.0,89.18,203264.0,
276,Random,0.2,84.95,89.21,40.01491618156433,1.2548862445280227,162190.0,89.18,203264.0,
337,Random,0.2,84.95,89.54,40.097858905792236,1.2548862445280227,162190.0,89.18,203264.0,
637,Random,0.2,84.95,89.08,39.915109634399414,1.2548862445280227,162190.0,89.18,203264.0,
723,Random,0.2,84.95,88.35,39.92097783088684,1.2548862445280227,162190.0,89.18,203264.0,
40,Random,0.2,84.9,89.75,39.99490666389465,1.2548862445280227,162190.0,89.18,203264.0,
69,Random,0.2,84.9,89.61,40.068028926849365,1.2548862445280227,162190.0,89.18,203264.0,
141,Random,0.2,84.9,88.82,40.2139778137207,1.2548862445280227,162190.0,89.18,203264.0,
432,Random,0.2,84.9,89.05,40.10579204559326,1.2548862445280227,162190.0,89.18,203264.0,
438,Random,0.2,84.9,89.06,39.96461200714111,1.2548862445280227,162190.0,89.18,203264.0,
441,Random,0.2,84.9,88.54,39.98982095718384,1.2548862445280227,162190.0,89.18,203264.0,
447,Random,0.2,84.9,89.57,39.97299408912659,1.2548862445280227,162190.0,89.18,203264.0,
505,Random,0.2,84.9,89.51,40.04934644699097,1.2548862445280227,162190.0,89.18,203264.0,
511,Random,0.2,84.9,89.07,40.025683879852295,1.2548862445280227,162190.0,89.18,203264.0,
206,Random,0.2,84.9,89.76,39.89685249328613,1.2548862445280227,162190.0,89.18,203264.0,
224,Random,0.2,84.9,89.95,40.04725241661072,1.2548862445280227,162190.0,89.18,203264.0,
844,Random,0.2,84.9,89.49,40.143757343292236,1.2548862445280227,162190.0,89.18,203264.0,
910,Random,0.2,84.9,88.79,40.10908031463623,1.2548862445280227,162190.0,89.18,203264.0,
915,Random,0.2,84.9,89.99,40.1972713470459,1.2548862445280227,162190.0,89.18,203264.0,
932,Random,0.2,84.9,89.24,39.93031048774719,1.2548862445280227,162190.0,89.18,203264.0,
450,Random,0.2,84.85,89.45,40.08074450492859,1.2548862445280227,162190.0,89.18,203264.0,
484,Random,0.2,84.85,89.03,40.19777011871338,1.2548862445280227,162190.0,89.18,203264.0,
214,Random,0.2,84.85,89.21,39.98444151878357,1.2548862445280227,162190.0,89.18,203264.0,
237,Random,0.2,84.85,89.68,39.99035453796387,1.2548862445280227,162190.0,89.18,203264.0,
272,Random,0.2,84.85,88.6,39.85762023925781,1.2548862445280227,162190.0,89.18,203264.0,
323,Random,0.2,84.85,89.18,40.08081340789795,1.2548862445280227,162190.0,89.18,203264.0,
341,Random,0.2,84.85,88.63,40.21411395072937,1.2548862445280227,162190.0,89.18,203264.0,
346,Random,0.2,84.85,89.26,39.98254704475403,1.2548862445280227,162190.0,89.18,203264.0,
827,Random,0.2,84.85,89.41,40.03071570396423,1.2548862445280227,162190.0,89.18,203264.0,
882,Random,0.2,84.85,89.84,39.894344329833984,1.2548862445280227,162190.0,89.18,203264.0,
960,Random,0.2,84.85,89.1,40.11124515533447,1.2548862445280227,162190.0,89.18,203264.0,
672,Random,0.2,84.85,89.17,40.294365882873535,1.2548862445280227,162190.0,89.18,203264.0,
678,Random,0.2,84.85,89.28,40.00715756416321,1.2548862445280227,162190.0,89.18,203264.0,
