Iteration,Baseline_Accuracy,Method,Prune_Ratio,Accuracy_After_Pruning,Accuracy_After_Finetuning
386,97.96,Random,0.3,97.46,98.02
387,97.96,Random,0.3,97.28,97.93
388,97.96,Random,0.3,97.55,97.98
389,97.96,Random,0.3,97.5,97.99
390,97.96,Random,0.3,97.4,97.99
391,97.96,Random,0.3,97.43,97.98
392,97.96,Random,0.3,97.38,97.7
393,97.96,Random,0.3,97.52,97.98
394,97.96,Random,0.3,97.51,97.99
395,97.96,Random,0.3,97.53,97.85
396,97.96,Random,0.3,97.59,97.92
397,97.96,Random,0.3,97.56,98.09
398,97.96,Random,0.3,97.3,97.95
399,97.96,Random,0.3,97.59,97.86
400,97.96,Random,0.3,97.52,97.88
401,97.96,Random,0.3,97.66,97.99
402,97.96,Random,0.3,97.43,97.94
403,97.96,Random,0.3,97.3,97.82
404,97.96,Random,0.3,97.47,98.01
405,97.96,Random,0.3,97.49,97.9
406,97.96,Random,0.3,97.56,98.03
407,97.96,Random,0.3,97.45,97.87
408,97.96,Random,0.3,97.39,97.9
409,97.96,Random,0.3,97.44,97.77
410,97.96,Random,0.3,97.61,98.01
411,97.96,Random,0.3,97.45,98.04
412,97.96,Random,0.3,97.45,97.94
413,97.96,Random,0.3,97.62,97.83
414,97.96,Random,0.3,97.62,98.05
415,97.96,Random,0.3,97.56,97.98
416,97.96,Random,0.3,97.14,97.96
417,97.96,Random,0.3,97.27,97.81
418,97.96,Random,0.3,97.53,98.03
419,97.96,Random,0.3,97.49,97.86
420,97.96,Random,0.3,97.3,98.05
421,97.96,Random,0.3,97.43,98.05
422,97.96,Random,0.3,97.44,97.84
423,97.96,Random,0.3,97.68,97.97
424,97.96,Random,0.3,97.61,97.91
425,97.96,Random,0.3,97.77,97.91
426,97.96,Random,0.3,97.4,97.95
427,97.96,Random,0.3,97.43,97.88
428,97.96,Random,0.3,97.45,98.08
429,97.96,Random,0.3,97.44,97.92
430,97.96,Random,0.3,97.54,97.84
431,97.96,Random,0.3,97.13,98.0
432,97.96,Random,0.3,97.1,97.98
433,97.96,Random,0.3,97.53,97.82
434,97.96,Random,0.3,97.44,97.86
435,97.96,Random,0.3,97.5,97.99
436,97.96,Random,0.3,97.3,97.94
437,97.96,Random,0.3,97.35,97.93
438,97.96,Random,0.3,97.3,97.7
439,97.96,Random,0.3,97.28,97.85
440,97.96,Random,0.3,97.22,97.89
441,97.96,Random,0.3,97.25,97.93
442,97.96,Random,0.3,97.48,97.97
443,97.96,Random,0.3,97.42,97.84
444,97.96,Random,0.3,97.41,98.06
445,97.96,Random,0.3,97.13,98.0
446,97.96,Random,0.3,97.54,98.02
447,97.96,Random,0.3,97.64,98.02
448,97.96,Random,0.3,97.41,97.81
449,97.96,Random,0.3,97.51,97.95
450,97.96,Random,0.3,97.24,97.93
451,97.96,Random,0.3,97.49,97.85
452,97.96,Random,0.3,97.47,97.86
453,97.96,Random,0.3,97.41,97.99
454,97.96,Random,0.3,97.47,98.02
455,97.96,Random,0.3,97.26,97.99
456,97.96,Random,0.3,97.33,98.02
457,97.96,Random,0.3,97.1,98.15
458,97.96,Random,0.3,97.46,97.91
459,97.96,Random,0.3,97.36,97.91
460,97.96,Random,0.3,97.46,97.93
461,97.96,Random,0.3,97.5,97.85
462,97.96,Random,0.3,97.16,97.98
463,97.96,Random,0.3,97.52,98.0
464,97.96,Random,0.3,97.43,97.78
465,97.96,Random,0.3,97.55,97.84
466,97.96,Random,0.3,97.61,97.96
467,97.96,Random,0.3,97.51,97.91
468,97.96,Random,0.3,97.04,97.97
469,97.96,Random,0.3,97.21,97.88
470,97.96,Random,0.3,97.59,97.92
471,97.96,Random,0.3,97.51,98.07
472,97.96,Random,0.3,97.55,98.0
473,97.96,Random,0.3,97.66,97.94
474,97.96,Random,0.3,97.53,97.99
475,97.96,Random,0.3,97.22,97.89
476,97.96,Random,0.3,97.48,98.18
477,97.96,Random,0.3,97.43,97.91
