Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs
903,Random,0.3,87.55,88.86,42.34935712814331,1.4301373713241752,142315.0,88.71,203264.0
929,Random,0.3,87.55,89.11,40.88891816139221,1.4301373713241752,142315.0,88.71,203264.0
978,Random,0.3,87.55,88.41,41.60327649116516,1.4301373713241752,142315.0,88.71,203264.0
107,Random,0.3,87.55,88.73,42.23804497718811,1.4301373713241752,142315.0,88.71,203264.0
304,Random,0.3,87.5,88.72,41.68426513671875,1.4301373713241752,142315.0,88.71,203264.0
318,Random,0.3,87.5,88.84,41.83905363082886,1.4301373713241752,142315.0,88.71,203264.0
370,Random,0.3,87.5,88.74,43.15170979499817,1.4301373713241752,142315.0,88.71,203264.0
371,Random,0.3,87.5,88.85,41.83306932449341,1.4301373713241752,142315.0,88.71,203264.0
194,Random,0.3,87.5,88.9,41.489965200424194,1.4301373713241752,142315.0,88.71,203264.0
203,Random,0.3,87.5,88.87,41.98284411430359,1.4301373713241752,142315.0,88.71,203264.0
501,Random,0.3,87.5,88.93,42.65108871459961,1.4301373713241752,142315.0,88.71,203264.0
518,Random,0.3,87.5,88.53,41.873512744903564,1.4301373713241752,142315.0,88.71,203264.0
648,Random,0.3,87.5,88.52,42.01874375343323,1.4301373713241752,142315.0,88.71,203264.0
714,Random,0.3,87.5,88.79,42.78351426124573,1.4301373713241752,142315.0,88.71,203264.0
662,Random,0.3,87.5,89.04,43.15421438217163,1.4301373713241752,142315.0,88.71,203264.0
730,Random,0.3,87.5,88.69,41.75729179382324,1.4301373713241752,142315.0,88.71,203264.0
752,Random,0.3,87.5,89.21,41.5629608631134,1.4301373713241752,142315.0,88.71,203264.0
25,Random,0.3,87.5,88.65,40.90863347053528,1.4301373713241752,142315.0,88.71,203264.0
23,Random,0.3,87.5,89.01,42.38296413421631,1.4301373713241752,142315.0,88.71,203264.0
65,Random,0.3,87.5,88.79,42.111217737197876,1.4301373713241752,142315.0,88.71,203264.0
143,Random,0.3,87.5,88.86,41.45588803291321,1.4301373713241752,142315.0,88.71,203264.0
96,Random,0.3,87.5,88.46,42.353336334228516,1.4301373713241752,142315.0,88.71,203264.0
287,Random,0.3,87.45,88.92,42.011101484298706,1.4301373713241752,142315.0,88.71,203264.0
100,Random,0.3,87.5,88.94,43.15702939033508,1.4301373713241752,142315.0,88.71,203264.0
310,Random,0.3,87.45,88.33,41.65662384033203,1.4301373713241752,142315.0,88.71,203264.0
346,Random,0.3,87.45,89.06,42.777087688446045,1.4301373713241752,142315.0,88.71,203264.0
425,Random,0.3,87.45,88.71,42.1963996887207,1.4301373713241752,142315.0,88.71,203264.0
150,Random,0.3,87.45,88.83,41.645949602127075,1.4301373713241752,142315.0,88.71,203264.0
226,Random,0.3,87.45,88.68,42.11283206939697,1.4301373713241752,142315.0,88.71,203264.0
270,Random,0.3,87.45,88.39,42.0555579662323,1.4301373713241752,142315.0,88.71,203264.0
504,Random,0.3,87.45,88.44,42.91256856918335,1.4301373713241752,142315.0,88.71,203264.0
519,Random,0.3,87.45,88.03,40.94741082191467,1.4301373713241752,142315.0,88.71,203264.0
535,Random,0.3,87.45,88.27,42.74512481689453,1.4301373713241752,142315.0,88.71,203264.0
573,Random,0.3,87.45,88.56,41.89988136291504,1.4301373713241752,142315.0,88.71,203264.0
575,Random,0.3,87.45,88.96,41.6828351020813,1.4301373713241752,142315.0,88.71,203264.0
667,Random,0.3,87.45,88.93,41.79585838317871,1.4301373713241752,142315.0,88.71,203264.0
873,Random,0.3,87.45,88.77,42.09106254577637,1.4301373713241752,142315.0,88.71,203264.0
963,Random,0.3,87.45,88.54,42.8546986579895,1.4301373713241752,142315.0,88.71,203264.0
724,Random,0.3,87.45,89.25,41.56384825706482,1.4301373713241752,142315.0,88.71,203264.0
747,Random,0.3,87.45,88.91,42.60514831542969,1.4301373713241752,142315.0,88.71,203264.0
766,Random,0.3,87.45,88.15,43.16312074661255,1.4301373713241752,142315.0,88.71,203264.0
777,Random,0.3,87.45,88.75,41.615256547927856,1.4301373713241752,142315.0,88.71,203264.0
773,Random,0.3,87.45,88.78,41.955846071243286,1.4301373713241752,142315.0,88.71,203264.0
838,Random,0.3,87.45,88.86,43.37928128242493,1.4301373713241752,142315.0,88.71,203264.0
850,Random,0.3,87.45,88.23,42.78359413146973,1.4301373713241752,142315.0,88.71,203264.0
332,Random,0.3,87.4,88.22,41.54048776626587,1.4301373713241752,142315.0,88.71,203264.0
347,Random,0.3,87.4,88.52,42.836631536483765,1.4301373713241752,142315.0,88.71,203264.0
398,Random,0.3,87.4,88.72,42.240920066833496,1.4301373713241752,142315.0,88.71,203264.0
197,Random,0.3,87.4,88.8,41.23211908340454,1.4301373713241752,142315.0,88.71,203264.0
401,Random,0.3,87.4,88.48,42.18819284439087,1.4301373713241752,142315.0,88.71,203264.0
219,Random,0.3,87.4,88.59,42.6641743183136,1.4301373713241752,142315.0,88.71,203264.0
230,Random,0.3,87.4,88.69,42.85300064086914,1.4301373713241752,142315.0,88.71,203264.0
