Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs
49,Random,0.2,88.5,88.93,60.40408706665039,1.2548862445280227,162190.0,88.71,203264.0
73,Random,0.2,88.5,89.16,66.37447619438171,1.2548862445280227,162190.0,88.71,203264.0
75,Random,0.2,88.5,88.33,62.21518659591675,1.2548862445280227,162190.0,88.71,203264.0
89,Random,0.2,88.5,88.38,62.03819537162781,1.2548862445280227,162190.0,88.71,203264.0
98,Random,0.2,88.5,89.18,63.4114887714386,1.2548862445280227,162190.0,88.71,203264.0
724,Random,0.2,88.5,88.99,70.62882041931152,1.2548862445280227,162190.0,88.71,203264.0
785,Random,0.2,88.5,88.87,66.18374466896057,1.2548862445280227,162190.0,88.71,203264.0
509,Random,0.2,88.45,89.39,64.65645289421082,1.2548862445280227,162190.0,88.71,203264.0
568,Random,0.2,88.45,88.78,64.35249018669128,1.2548862445280227,162190.0,88.71,203264.0
922,Random,0.2,88.45,89.03,59.96592450141907,1.2548862445280227,162190.0,88.71,203264.0
396,Random,0.2,88.45,88.74,66.38662815093994,1.2548862445280227,162190.0,88.71,203264.0
923,Random,0.2,88.45,88.76,59.25463128089905,1.2548862445280227,162190.0,88.71,203264.0
169,Random,0.2,88.45,88.19,72.30017828941345,1.2548862445280227,162190.0,88.71,203264.0
114,Random,0.2,88.45,88.85,62.854400873184204,1.2548862445280227,162190.0,88.71,203264.0
55,Random,0.2,88.45,88.05,65.9405837059021,1.2548862445280227,162190.0,88.71,203264.0
722,Random,0.2,88.45,88.65,61.5909218788147,1.2548862445280227,162190.0,88.71,203264.0
492,Random,0.2,88.4,88.49,62.085688829422,1.2548862445280227,162190.0,88.71,203264.0
788,Random,0.2,88.45,88.54,65.39747262001038,1.2548862445280227,162190.0,88.71,203264.0
539,Random,0.2,88.4,88.76,66.89270639419556,1.2548862445280227,162190.0,88.71,203264.0
368,Random,0.2,88.4,88.24,63.936147689819336,1.2548862445280227,162190.0,88.71,203264.0
429,Random,0.2,88.4,88.75,67.00395607948303,1.2548862445280227,162190.0,88.71,203264.0
648,Random,0.2,88.4,88.3,62.84786534309387,1.2548862445280227,162190.0,88.71,203264.0
635,Random,0.2,88.4,88.91,66.97155237197876,1.2548862445280227,162190.0,88.71,203264.0
653,Random,0.2,88.4,88.7,63.33738088607788,1.2548862445280227,162190.0,88.71,203264.0
677,Random,0.2,88.4,88.68,62.39329409599304,1.2548862445280227,162190.0,88.71,203264.0
682,Random,0.2,88.4,88.68,63.01710271835327,1.2548862445280227,162190.0,88.71,203264.0
695,Random,0.2,88.4,89.15,66.43563055992126,1.2548862445280227,162190.0,88.71,203264.0
702,Random,0.2,88.4,88.59,65.70535349845886,1.2548862445280227,162190.0,88.71,203264.0
704,Random,0.2,88.4,88.19,67.47119688987732,1.2548862445280227,162190.0,88.71,203264.0
