Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs,Pruned_FLOPs
38,Random,0.2,96.5,97.8,40.040754079818726,1.2548862445280227,162190.0,97.89,203264.0,
86,Random,0.2,96.5,98.15,41.54548645019531,1.2548862445280227,162190.0,97.89,203264.0,
984,Random,0.2,96.5,97.99,39.70588707923889,1.2548862445280227,162190.0,97.89,203264.0,
150,Random,0.2,96.5,98.02,39.98700547218323,1.2548862445280227,162190.0,97.89,203264.0,
161,Random,0.2,96.5,97.91,39.860594511032104,1.2548862445280227,162190.0,97.89,203264.0,
204,Random,0.2,96.5,98.01,39.725693464279175,1.2548862445280227,162190.0,97.89,203264.0,
249,Random,0.2,96.5,98.01,39.88604211807251,1.2548862445280227,162190.0,97.89,203264.0,
170,Random,0.2,96.5,98.11,40.10566782951355,1.2548862445280227,162190.0,97.89,203264.0,
414,Random,0.2,96.5,97.98,39.99947690963745,1.2548862445280227,162190.0,97.89,203264.0,
493,Random,0.2,96.5,97.86,41.195456981658936,1.2548862445280227,162190.0,97.89,203264.0,
278,Random,0.2,96.5,98.04,39.70469403266907,1.2548862445280227,162190.0,97.89,203264.0,
325,Random,0.2,96.5,98.03,39.96631574630737,1.2548862445280227,162190.0,97.89,203264.0,
616,Random,0.2,96.5,98.1,39.82065725326538,1.2548862445280227,162190.0,97.89,203264.0,
739,Random,0.2,96.5,97.98,39.75466752052307,1.2548862445280227,162190.0,97.89,203264.0,
761,Random,0.2,96.5,98.0,39.94214081764221,1.2548862445280227,162190.0,97.89,203264.0,
764,Random,0.2,96.5,97.86,40.173134326934814,1.2548862445280227,162190.0,97.89,203264.0,
87,Random,0.2,96.45,98.02,40.037686824798584,1.2548862445280227,162190.0,97.89,203264.0,
116,Random,0.2,96.45,98.0,41.09810924530029,1.2548862445280227,162190.0,97.89,203264.0,
883,Random,0.2,96.45,98.1,39.75815558433533,1.2548862445280227,162190.0,97.89,203264.0,
926,Random,0.2,96.45,98.07,40.00035214424133,1.2548862445280227,162190.0,97.89,203264.0,
932,Random,0.2,96.45,98.08,39.90116548538208,1.2548862445280227,162190.0,97.89,203264.0,
965,Random,0.2,96.45,97.99,39.8807270526886,1.2548862445280227,162190.0,97.89,203264.0,
139,Random,0.2,96.45,97.91,39.87018871307373,1.2548862445280227,162190.0,97.89,203264.0,
169,Random,0.2,96.45,98.19,40.015283823013306,1.2548862445280227,162190.0,97.89,203264.0,
187,Random,0.2,96.45,97.95,40.09267783164978,1.2548862445280227,162190.0,97.89,203264.0,
234,Random,0.2,96.45,98.1,40.893985986709595,1.2548862445280227,162190.0,97.89,203264.0,
413,Random,0.2,96.45,97.96,39.64354228973389,1.2548862445280227,162190.0,97.89,203264.0,
495,Random,0.2,96.45,98.01,39.890379667282104,1.2548862445280227,162190.0,97.89,203264.0,
300,Random,0.2,96.45,98.11,39.799925804138184,1.2548862445280227,162190.0,97.89,203264.0,
305,Random,0.2,96.45,98.23,39.76417350769043,1.2548862445280227,162190.0,97.89,203264.0,
308,Random,0.2,96.45,98.07,39.83915734291077,1.2548862445280227,162190.0,97.89,203264.0,
345,Random,0.2,96.45,98.03,40.389750957489014,1.2548862445280227,162190.0,97.89,203264.0,
355,Random,0.2,96.45,98.09,39.96719026565552,1.2548862445280227,162190.0,97.89,203264.0,
550,Random,0.2,96.45,97.9,40.96716785430908,1.2548862445280227,162190.0,97.89,203264.0,
584,Random,0.2,96.45,98.21,39.61473631858826,1.2548862445280227,162190.0,97.89,203264.0,
597,Random,0.2,96.45,97.91,39.92291235923767,1.2548862445280227,162190.0,97.89,203264.0,
609,Random,0.2,96.45,98.09,39.85245966911316,1.2548862445280227,162190.0,97.89,203264.0,
2,Random,0.2,96.4,98.06,39.7245659828186,1.2548862445280227,162190.0,97.89,203264.0,
11,Random,0.2,96.4,97.92,39.80923533439636,1.2548862445280227,162190.0,97.89,203264.0,
42,Random,0.2,96.4,98.19,40.048094034194946,1.2548862445280227,162190.0,97.89,203264.0,
106,Random,0.2,96.4,98.11,40.01060199737549,1.2548862445280227,162190.0,97.89,203264.0,
227,Random,0.2,96.4,98.04,41.2928569316864,1.2548862445280227,162190.0,97.89,203264.0,
383,Random,0.2,96.4,98.04,39.6398069858551,1.2548862445280227,162190.0,97.89,203264.0,
